Ticker,Assigned_Cluster,Current_Price_P0,Target_Consensus_Ti,Target_High,Target_Low,Analyst_Coverage_Ni,EPS_2Y_CAGR_Gi2Y_pct,EPS_Revision_90d_pct,As_Of_Date,Cluster,Intra_Cluster_Weight_pct,Final_Portfolio_Weight_pct,Standalone_Asset_TPS,Strategy_Lambda,Strategy_Gamma,Strategy_Kappa,Strategy_N_ref,Strategy_W_max,Strategy_R_f
ARGX,6,1028.51,1200.0,1450.0,932.0,27,29.0,1.85,2026-09-01,★ SINGLETON_ARGX,100.0,15.0,-0.03,1.0,1.5,0.6,15,0.15,0.17
LLY,6,1160.0,1350.0,1680.0,850.0,24,20.85,4.77,2026-09-01,6,0.0,0.0,-0.26,1.0,1.5,0.6,15,0.15,0.17
NVDA,1,217.44,334.0,710.0,180.0,30,62.5,27.38,2026-09-01,★ SINGLETON_NVDA,100.0,15.0,0.32,1.0,1.5,0.6,15,0.15,0.17
LSCC,3,111.68,164.0,180.0,111.0,7,47.0,0.0,2026-09-01,3,40.1,5.48,0.15,1.0,1.5,0.6,15,0.15,0.17
GRAB,5,3.46,5.9,8.0,4.6,12,21.2,1.5,2026-09-01,5,100.0,0.0,-0.0,1.0,1.5,0.6,15,0.15,0.17
MPWR,3,1225.96,1860.0,2100.0,1580.0,15,32.54,9.9,2026-09-01,3,59.9,8.19,0.23,1.0,1.5,0.6,15,0.15,0.17
AVGO,1,369.68,534.0,675.0,400.0,24,55.0,0.0,2026-09-01,★ SINGLETON_AVGO,100.0,15.0,0.58,1.0,1.5,0.6,15,0.15,0.17
MCHP,3,71.41,110.0,135.0,88.0,6,20.88,12.06,2026-09-01,3,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
ALAB,3,279.91,420.0,500.0,310.0,16,71.63,5.03,2026-09-01,★ SINGLETON_ALAB,100.0,15.0,0.39,1.0,1.5,0.6,15,0.15,0.17
TSEM,2,199.06,314.0,355.0,270.0,5,31.88,5.37,2026-09-01,2,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
AEIS,3,267.0,430.0,535.0,370.0,5,25.37,0.0,2026-09-01,3,0.0,0.0,-0.05,1.0,1.5,0.6,15,0.15,0.17
AMD,1,459.61,625.0,1250.0,365.0,30,53.0,14.3,2026-09-01,1,60.3,6.22,0.14,1.0,1.5,0.6,15,0.15,0.17
PLTR,5,179.92,200.0,255.0,80.0,14,59.0,0.7,2026-09-01,★ SINGLETON_PLTR,100.0,6.83,0.04,1.0,1.5,0.6,15,0.15,0.17
ASML,2,1665.14,2320.0,2860.0,1630.0,28,25.3,1.4,2026-09-01,2,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
MRVL,1,210.39,292.0,400.0,211.0,30,46.2,11.2,2026-09-01,1,39.7,4.09,0.12,1.0,1.5,0.6,15,0.15,0.17
P,4,93.78,132.0,170.0,80.0,8,24.6,48.0,2026-09-01,4,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
AS,4,29.46,50.0,67.0,40.0,14,17.4,4.7,2026-09-01,4,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
MTSI,3,262.01,395.0,475.0,300.0,7,30.0,-0.27,2026-09-01,3,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
AMAT,2,441.85,667.0,900.0,515.0,19,26.3,15.47,2026-09-01,2,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
ANET,4,189.26,248.0,330.0,215.0,18,31.47,4.7,2026-09-01,4,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
NBIX,6,156.76,211.0,249.0,165.0,16,21.28,0.69,2026-09-01,6,100.0,4.58,-0.08,1.0,1.5,0.6,15,0.15,0.17
Q,4,115.49,180.0,190.0,170.0,6,12.6,4.4,2026-09-01,4,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
MTZ,4,237.74,434.0,570.0,340.0,12,20.5,-1.0,2026-09-01,4,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
ADI,3,354.52,477.0,675.0,405.0,14,23.5,18.9,2026-09-01,3,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
CIEN,4,360.33,574.0,720.0,413.0,10,29.0,0.0,2026-09-01,4,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
TER,2,335.46,455.0,550.0,390.0,10,35.0,0.0,2026-09-01,2,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
COHR,4,272.03,415.0,400.0,280.0,6,39.0,20.1,2026-09-01,4,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
ARM,1,234.82,295.0,480.0,130.0,25,30.0,0.0,2026-09-01,1,0.0,0.0,-0.06,1.0,1.5,0.6,15,0.15,0.17
TSM,2,414.0,543.0,650.0,440.0,29,33.5,1.7,2026-09-01,★ SINGLETON_TSM,100.0,4.61,0.21,1.0,1.5,0.6,15,0.15,0.17
SMTC,3,132.27,209.0,300.0,155.0,8,34.0,20.7,2026-09-01,3,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
STX,3,816.64,1160.0,1600.0,860.0,8,37.0,-1.0,2026-09-01,3,0.0,0.0,,1.0,1.5,0.6,15,0.15,0.17
